acl 2.3.1-2
luajit 2.1.0.beta3.r439.g633f265f-1
lxappearance 0.6.3-4
lz4 1:1.9.4-1
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.10.2-1
materia-gtk-theme 20210322-2
md4c 0.4.8-1
mesa 22.1.7-1
metis 5.1.0.p10-2
minizip 1:1.2.12-2
mkinitcpio 31-3
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20220725-1
mpfr 4.1.0.p13-3
mpg123 1.30.2-1
mpv 1:0.34.1-5
msgpack-c 4.0.0-1
mtdev 1.1.6-2
mujs 1.2.0-2
mupdf 1.20.3-1
mypaint-brushes 2.0.2-1
mypaint-brushes1 1.3.1-1
nano 6.4-1
ncurses 6.3-3
neofetch 7.1.0-2
neon 0.32.3-1
neovim 0.7.2-3
netctl 1.28-1
netpbm 10.73.37-2
nettle 3.8.1-1
networkmanager 1.40.0-1
node-gyp 9.1.0-1
nodejs 18.8.0-1
nodejs-nopt 6.0.0-1
noto-fonts 20220607-1
npm 8.19.1-1
npth 1.6-3
nspr 4.34.1-1
nss 3.82-1
ocl-icd 2.3.1-1
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-2
openpmix 4.2.0-1
openresolv 3.12.0-1
openssl 1.1.1.q-1
opus 1.3.1-3
opusfile 0.12-2
orc 0.4.32-1
p11-kit 0.24.1-1
pacman 6.0.1-7
pacman-mirrorlist 20220828-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.9-1
papirus-icon-theme 20220808-1
patch 2.7.6-8
pciutils 3.8.0-2
pcre 8.45-2
pcre2 10.40-1
perl 5.36.0-1
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
picom 9.1-3
pinentry 1.2.0-1
pixman 0.40.0-2
pkgconf 1.8.0-1
polkit 121-1
polybar 3.6.3-2
poppler 22.09.0-1
poppler-data 0.4.11-1
poppler-glib 22.09.0-1
popt 1.18-3
procps-ng 3.3.17-1
psmisc 23.5-1
pulseaudio 16.1-1
pulseaudio-alsa 1:1.2.7.1-1
pulseaudio-bluetooth 16.1-1
pulseaudio-equalizer 16.1-1
pulseaudio-jack 16.1-1
python 3.10.6-1
python-appdirs 1.4.4-7
python-autocommand 2.2.1-1
python-cachecontrol 1:0.12.11-1
python-cairo 1.21.0-1
python-certifi 2022.06.15-1
python-cffi 1.15.1-1
python-chardet 5.0.0-1
python-colorama 0.4.5-1
python-commonmark 0.9.1-5
python-configobj 5.0.6.r110.g3e2f4cc-3
python-cryptography 37.0.4-1
python-distlib 0.3.6-1
python-distro 1.7.0-1
python-docutils 1:0.19-2
python-future 0.18.2-7
python-gobject 3.42.2-1
python-idna 3.3-4
python-inflect 6.0.0-1
python-jaraco.context 4.1.2-1
python-jaraco.functools 3.5.1-1
python-jaraco.text 3.9.1-1
python-more-itertools 8.13.0-2
python-msgpack 1.0.4-1
python-nspektr 0.4.0-2
python-numpy 1.23.2-1
python-ordered-set 4.1.0-1
python-packaging 21.3-1
python-pep517 0.13.0-1
python-pip 22.2.2-2
python-platformdirs 2.5.2-1
python-ply 3.11-10
python-psutil 5.9.1-1
python-pycparser 2.21-3
python-pydantic 1.10.2-1
python-pygments 2.13.0-1
python-pyopenssl 22.0.0-1
python-pyparsing 3.0.9-1
python-pyqt5 5.15.7-1
python-pyqt5-sip 12.11.0-1
python-requests 2.28.1-1
python-resolvelib 0.8.1-1
python-rich 12.5.1-1
python-setuptools 1:62.3.4-1
python-six 1.16.0-6
python-tenacity 8.0.1-3
python-tomli 2.0.1-1
python-trove-classifiers 2022.8.31-1
python-typing_extensions 4.3.0-1
python-urllib3 1.26.12-1
python-validate-pyproject 0.10.1-1
python-webencodings 0.5.1-9
qt5-base 5.15.5+kde+r182-1
qt5-svg 5.15.5+kde+r11-1
qt5-translations 5.15.5+kde+r2-1
qt5-x11extras 5.15.5+kde+r0-1
rapidjson 1.1.0-5
raptor 2.0.15-19
rasqal 1:0.9.33-5
rav1e 0.5.1-2
re2 1:20220601-1
readline 8.1.002-1
